codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
4260-710-7100,372.2,1,"Tubo do eixo Ø 25,4 x 1498 mm",KA85 KA120,5,10,0.0,84831090,886661537310
4260-710-7101,682.84,1,"Tubo do eixo Ø 25,4 x 1748 mm",KA85 KA120,5,10,0.0,84831090,886661537327
4260-740-5100,1439.0,1,SP 20 Derriçador,KA85R KA120 (Transmissão + Eixo Flexível),0,10,5.2,84679900,886661263233
4282-708-6304,79.96,1,Bico chato curvado,BR800,1,10,3.25,84149020,886661035991
4282-708-6340,43.6,1,Bico chato curvado,BR600,1,10,3.25,84149020,795711384777
4282-710-9101,137.14,1,Cinturão,BR600,1,0,0.0,63079090,795711823276
4282-790-1700,233.88,1,Tubo do punho,BR600,1,10,3.25,84249090,795711372255
4311-680-2350,368.9,1,Prolongamento da haste 450 mm,BT120 BT121 BT130 BT131,1,10,5.2,84679900,795711052935
4311-680-4010,1181.43,1,Mandril de brocas,BT121,1,0,3.25,84314390,795711053062
4313-680-2300,314.39,1,Prolongamento da haste 250 mm,BT121 BT120 BT130 BT131,1,10,5.2,84679900,795711416560
4314-007-1000,337.36,1,Jogo Mandril de brocas,BT45,1,10,5.2,84679900,795711352875
4314-007-1001,322.06,1,Kit para perfurador Solo or plantio,BT45,1,10,5.2,84679900,795711352882
4314-007-1004,511.3,1,Jogo Mandril de brocas,BT45,1,10,5.2,84679900,795711352899
4314-680-1903,547.48,1,"Broca perfuradora solo para plantio 3""",BT45,1,10,5.2,82071910,795711178741
4314-680-1904,567.64,1,"Broca perfuradora solo para plantio 4""",BT45,1,10,5.2,82071910,795711178758
4314-680-1905,590.31,1,"Broca perfuradora solo para plantio 5""",BT45,1,10,5.2,82071910,795711178765
4314-680-4000,248.93,1,Mandril de brocas,BT45,1,0,0.0,84661000,795711214586
4314-680-4001,239.64,1,Mandril de brocas,BT45,1,0,0.0,84661000,795711194512
4314-682-3900,25.06,1,Adaptador,BT45,1,10,5.2,84679900,795711353094
4314-682-5013,149.05,1,Broca para madeira de aço Ø 13x320 mm,BT45,1,10,5.2,82075011,795711179595
4314-682-5019,190.17,1,Broca para madeira de aço Ø 19x460 mm,BT45,1,10,5.2,82075011,795711179618
4314-682-5025,253.99,1,Broca para madeira de aço Ø 25x460 mm,BT45,1,10,5.2,82075011,795711179656
4404-680-1900,1030.54,1,Broca perfuradora de solo Ø 260 mm,BT120 BT121 BT130 BT131,1,10,5.2,82071910,795711093921
4404-680-2012,1207.7,1,Broca perfuradora de solo de aço Ø 120mm,BT120 BT121 BT130 BT131,1,10,5.2,82071910,795711086251
