codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
0463-902-0434,9.15,1,Abridor de garrafa e lata,,0,10,0.0,82055100,886661327621
0463-902-0455,169.05,1,Camisa xadrez feminina PP,,0,0,0.0,62063000,886661327850
0463-902-0456,169.05,1,Camisa xadrez feminina P,,0,0,0.0,62063000,886661327867
0463-902-0457,169.05,1,Camisa xadrez feminina M,,0,0,0.0,62063000,886661327874
0463-902-0458,169.05,1,Camisa xadrez feminina G,,0,0,0.0,62063000,886661327881
0463-902-0459,169.05,1,Camisa xadrez feminina GG,,0,0,0.0,62063000,886661327898
0463-902-0460,199.5,1,Calça Jeans masculina Nº38,,0,0,0.0,62034900,886661327904
0463-902-0461,199.5,1,Calça Jeans masculina Nº40,,0,0,0.0,62034900,886661327911
0463-902-0462,199.5,1,Calça Jeans masculina Nº42,,0,0,0.0,62034900,886661327928
0463-902-0463,199.5,1,Calça Jeans masculina Nº44,,0,0,0.0,62034900,886661327935
0463-902-0464,199.5,1,Calça Jeans masculina Nº46,,0,0,0.0,62034900,886661327942
0463-902-0465,199.5,1,Calça Jeans masculina Nº48,,0,0,0.0,62034900,886661327959
0463-902-0466,199.5,1,Calça Jeans masculina Nº50,,0,0,0.0,62034900,886661327966
0463-902-0467,199.5,1,Calça Jeans masculina Nº52,,0,0,0.0,62034900,886661327973
0463-902-0476,120.75,1,Camisa pólo cinza fem. P,,0,0,0.0,62063000,886661328062
0463-902-0477,120.75,1,Camisa pólo cinza fem. M,,0,0,0.0,62063000,886661328079
0463-902-0478,120.75,1,Camisa pólo cinza fem. G,,0,0,0.0,62063000,886661328086
0463-902-0479,120.75,1,Camisa pólo cinza fem. GG,,0,0,0.0,62063000,886661328093
0463-902-0487,197.54,1,Calça Jeans feminina Nº50,,0,0,0.0,62046900,886661328178
0463-902-0494,220.5,1,Camisa listrada manga longa P (Slim),Modelo Slim Fit é aprox. 1 tamanho menor do que o tradicional.,0,0,0.0,62059090,886661328246
0463-902-0495,220.5,1,Camisa listrada manga longa M (Slim),Modelo Slim Fit é aprox. 1 tamanho menor do que o tradicional.,0,0,0.0,62059090,886661328253
0463-902-0496,220.5,1,Camisa listrada manga longa G (Slim),Modelo Slim Fit é aprox. 1 tamanho menor do que o tradicional.,0,0,0.0,62059090,886661328260
0463-902-0497,220.5,1,Camisa listrada manga longa GG (Slim),Modelo Slim Fit é aprox. 1 tamanho menor do que o tradicional.,0,0,0.0,62059090,886661328277
0463-902-0498,220.5,1,Camisa listrada manga longa XG (Slim),Modelo Slim Fit é aprox. 1 tamanho menor do que o tradicional.,0,0,0.0,62059090,886661328284
0463-902-0499,191.1,1,Camisa listrada manga curta P (Slim),Modelo Slim Fit é aprox. 1 tamanho menor do que o tradicional.,0,0,0.0,62059090,886661328291
