codigo_antigo,codigo_novo,descricao,data_alteracao,unnamed_7
1127-020-3000,1127-030-3003,Carcaça do motor,2001-12-17,
1127-021-1100,1127-021-1102,Tampa,1997-02-24,
1127-021-1102,1127-160-5550,Mola de tração com tampa,1994-11-11,
1127-030-0402,1127-030-0411,Virabrequim,2017-09-19,
1127-030-2015,1127-030-2018,Pistão Ø 49 mm,1998-03-19,
1127-030-2018,1127-030-2005,Pistão Ø 49 mm,1999-02-19,
1127-034-3000,1127-034-3007,"Anel de compressão Ø 49x1,5 mm",1997-09-04,
1127-080-1800,1127-080-1801,Carcaça do ventilador,2000-12-04,
1127-080-1801,1127-080-1802,Carcaça do ventilador,1998-12-02,
1127-080-2100,1127-080-2102,Carcaça do ventilador c/disp/ arranque,2016-11-07,
1127-080-2102,1127-080-2108,Carcaça do ventilador c/disp/ arranque,2002-02-27,
1127-120-0601,1127-120-0650,Carburador HD-19D,1997-05-06,
1127-120-0650,1127-120-0651,Carburador HD-36B,2008-11-03,
1127-120-1600,1127-120-1610,Filtro de ar,1997-05-07,
1127-120-1605,,,NaT,
1127-121-3300,1127-121-3301,Borboleta de estrangulamento de latão,2005-04-04,
1127-129-0900,1127-129-0906,Junta de vedação,2001-03-19,
1127-140-0620,1127-140-0601,Silenciador,1998-12-22,
1127-145-1600,1127-145-1601,Tampa,1998-02-11,
1127-149-0600,1127-149-0650,Junta de vedação do silenciador,1994-07-15,
1127-200-0008,1127-200-0088,"MS 390 Motosserra,40cm/16"",36RM",2014-09-05,
1127-200-0009,1127-200-0089,"MS 390 Motosserra,50cm/20"",36RM",2014-09-05,
1127-350-3500,0000-350-3500,Cabeçote de aspiração,1998-12-18,
1127-358-7705,1127-358-7702,Mangueira,2012-10-24,
1127-440-3000,1127-440-3001,Cabo de ligação de poliuretano,1994-08-10,
1127-640-3200,1127-640-3201,Bomba de óleo,2010-07-21,
1127-640-3201,1127-640-3204,Bomba de óleo,2010-08-13,
1127-790-1000,1127-790-1001,Carcaça do punho,1998-12-02,
1127-791-7200,1118-791-7205,Luva,2009-03-30,
1127-893-2600,1127-893-2601,Cinta tensora,2008-09-13,
1127-893-2601,1127-893-2602,Cinta tensora,2008-09-13,
1128-020-2118,1128-020-2123,Carcaça do virabrequim,1998-10-29,
1128-021-1101,1128-021-1102,Tampa,2011-09-01,
1128-030-0404,1128-030-0402,Virabrequim,2006-04-10,
1128-121-5404,1128-121-5405,Injetor da válvula,2005-05-13,
1128-123-7500,1128-123-7502,Luva,1998-04-15,
1128-141-2200,1128-141-2203,Conexão,2010-07-30,
1128-160-2000,1128-160-2001,Embreagem,2010-07-21,
1128-160-2001, 1128-160-2004,Embreagem,2006-05-29,
1128-162-0800,1128-162-0806,Contrapeso centrífugo,2010-07-16,
1128-162-0807,1138-162-0800,Contrapeso centrífugo,2006-01-04,
1128-190-0600,1129-190-0600,Mola de recuo,2010-07-30,
1128-190-3400,0000-190-3401,"Manípulo ElastoStart Ø 3,5 mm",1996-10-24,
1128-350-0822,1128-350-0833,Carcaça do tanque,2012-04-20,
1128-640-1701,1128-640-1707,Tampa do pinhão da corrente,2007-03-07,
1128-647-4805,1128-647-4806,Pino de regulagem,1997-10-22,
1128-664-1002,1128-664-1001,Chapa lateral interna,1997-09-26,
1129-141-8600,0000-930-2804,Mangueira 1000 mm,2004-07-07,
1129-190-0600,1129-190-0601,Mola de recuo,1999-11-04,
1129-195-8200,0000-195-8200,Cordão de arranque Ø 3x800 mm,1998-04-22,
1130-200-0143,1130-200-0195,"MS 180 C-BE Motosserra,30cm/12"",61PMM3",2014-09-05,
1135-020-2601,1135-020-2606,Carcaça do virabrequim lado ventilador,2012-07-19,
1135-080-2102,1135-080-2106,Carcaça do ventilador c/disp/ arranque,2009-02-16,
1135-400-1200,1135-400-1203,Volante,2010-06-21,
1206-007-1003,1208-007-1001,Jogo porta-escovas 230/240 V,1998-05-04,
1206-435-0300,1206-435-0301,Interruptor,2011-02-09,
1206-600-1000,1206-600-1050,Rotor com roda do ventilador 230 V,2010-02-04,
1206-600-2600,1206-600-2602,Porta-escovas 230 V,2011-07-01,
1206-600-2602,1208-007-1001,Jogo porta-escovas 230/240 V,1998-05-04,
1206-605-1000,1206-605-1001,Capacitor 230/240 V,1998-09-22,
1206-640-3205,1208-640-3250,Bomba de óleo,1995-12-04,
1208-162-3200,1208-162-3201,Arrastador,1999-04-27,
1208-200-0134,1208-200-0185,"MSE 160 C-BQ Serra elétrica,30cm/12""",2013-05-08,
1208-435-0306,1208-435-0305,Interruptor 120/240 V,2016-08-26,
1208-435-2400,1208-435-2401,Alavanca do interruptor,2010-07-30,
1208-602-1200,1208-602-1201,Carcaça do motor,2017-05-10,
1208-640-0500,1208-640-0503,Carcaça da engrenagem,2017-05-10,
1208-640-7500,1208-640-7550,Roda dentada,1997-11-18,
1208-790-1015,1208-790-1003,Carcaça do punho,2015-06-11,
3003-000-9821,3003-001-9821,"Sabre S 50cm/20"" 1,6mm/0/063"" 3/8""",2013-11-24,
3003-000-9831,3003-001-9831,"Sabre S 63cm/25"" 1,6mm/0/063"" 3/8""",2013-09-07,
3003-000-9841,3003-000-9842,"Sabre S 75cm/30"" 1,6mm/0/063"" 3/8""",2014-12-07,
3876-000-0044,3997-000-0044,Corrente de Aço Picco Micro Cadena,2010-04-27,
3876-000-0050,3997-000-0050,63 PM Picco Micro Cadena,2010-04-27,
3876-000-0055,3997-000-0055,63 PM Picco Micro Corrente,2008-05-19,
3876-000-1640,3997-000-1640,63 PM Picco Micro Rolo de corrente,2008-12-19,
3876-660-6600,3997-660-6600,"Elo de ligação com rebite 3/8"" P",2015-12-19,
3876-662-1200,3997-662-1200,"Elo de ligação 3/8"" PM",2014-02-06,
3982-000-0044,3610-000-0044,61 PMM3 Picco Micro Mini Corrente,2006-03-08,
3982-000-1640,3610-000-1640,61 PMM3 Picco Micro Mini Rolo de corrent,2007-05-15,
3997-000-0044,3613-000-0044,"Corrente 63 PMC 30 cm - 3/8” 1,3 mm",2008-07-16,
3997-000-0050,3523-000-0050,"Corrente 63 PM 35 cm - 3/8"" 1,3 mm",2004-12-06,
3997-000-0055,3523-000-0055,"Corrente 63 PM 40 cm - 3/8"" 1,3 mm",2004-12-06,
3997-000-1640,3523-000-1640,63 PM Picco Micro Rolo de corrente,2004-12-06,
4002-710-2120,4002-710-2122,Cabeçote de corte TrimCut 30-2,2012-12-09,
4002-710-9600,4002-710-9601,Prato superior,2006-09-14,
4002-713-3001,4002-713-3016,Carretel,2003-02-17,
4003-713-8300,4003-713-8301,Luva,2002-12-10,
4003-710-2100,4003-710-2101,Cabeçote de corte TrimCut 40-2,2014-12-07,
4003-713-8300,4003-713-8301,Luva,2002-12-10,
4004-710-4304,4004-713-3000,Carretel,1999-05-27,
,0000-930-2515,"Fio corte red/sil/ Ø 2,0 mm x 15,3 m vd",2015-03-18,
4110-713-3000,4003-713-3000,Carretel,2015-03-22,
4110-713-3600,4003-713-3600,Carcaça da bobina,1999-03-29,
4110-710-7000,4110-710-7001,Cobertura de proteção,2010-07-30,
4110-713-4201,4000-713-4200,"Serra circular 200-44, standard",2003-06-17,
4110-717-2100,4110-710-2700,Protetor,2011-10-10,
4112-710-4600,4119-710-6900,Gancho do cinto,2010-08-03,
4112-716-3100 ,0000-716-3100,Placa de apoio,2009-10-30,
4112-717-2801,4137-710-3800,Prato de pressão,1999-07-16,
4117-713-1500,4126-710-3800,Prato de pressão,1995-08-17,
4116-007-1050,4119-007-1051,Jogo de juntas de vedação,1989-04-04,
4116-195-0500,4223-195-0600,Roda do arranque,1997-09-09,
4116-350-0501,4116-350-0502,Tampa do tanque,1998-03-24,
4116-350-8100,4116-350-5800,Respiro do tanque,2016-01-22,
4116-358-2900,4116-350-0900,Presilha de segurança,1996-04-01,
4117-350-3505,0000-350-3502,Cabeçote de aspiração,1998-12-18,
4117-641-0305,4135-641-0300,Carcaça da engrenagem,2012-09-04,
4117-710-7100,4117-710-7102,Tubo do eixo Ø 26 mm,2010-07-21,
4117-710-7102,4117-710-7104,Tubo do eixo aluminio,2013-06-24,
4117-711-3200,4119-711-3212,Eixo de acionamento,1988-10-24,
4117-713-3300,4117-710-8200,Protetor Ø 200 mm,1987-12-21,
4117-713-6501,4119-713-6500,Parafuso de fechamento,2003-03-06,
4117-893-4700,1110-893-4700,Pino de montagem para pistão,1998-01-21,
4119-007-1051,4119-007-1052,Jogo de juntas de vedação,2006-02-14,
4119-020-1200,4119-020-1215,Cilindro com pistão Ø 38 mm,2010-07-21,
4119-020-1202,4119-020-1216,Cilindro com pistão Ø 40 mm,2010-07-21,
4119-020-1205,4119-020-1217,Cilindro com pistão Ø 35 mm,2010-07-21,
4119-020-1215,4119-020-1204,Cilindro com pistão Ø 38 mm,2005-03-11,
4119-020-1216,4119-020-1207,Cilindro com pistão Ø 40 mm,2005-03-11,
4119-020-1217,4119-020-1203,Cilindro com pistão Ø 35 mm,2005-03-11,
4119-020-2106,4119-020-2107,Carcaça do virabrequim,2007-08-28,
4119-030-2000,4119-030-2003,Pistão Ø 38 mm,2005-09-02,
4119-030-2002,4119-030-2004,Pistão Ø 40 mm,2005-09-02,
4119-030-2005,4119-030-2001,Pistão de alumínio Ø 35 mm,2005-09-02,
4119-034-3000,4119-034-3002,"Anel de compressão de aço Ø 38x1,5 mm",2005-09-02,
4119-034-3005,4119-034-3001,"Anel de compressão Ø 35x1,5 mm",2005-09-02,
4119-121-2900,4119-121-2901,Borboleta do afogador,1987-10-15,
4119-122-6700,4119-122-6702,Parafuso de regulagem principal,1987-12-01,
4119-122-6800,4119-122-6802,Parafuso de regulagem da marcha lenta,1987-12-01,
4119-140-9500,4119-141-8302,Porca de fechamento,1997-09-26,
4119-141-8605,0000-930-2803,"Mangueira 3,1x5,7 mm x 1 m R3",2015-08-21,
4119-160-2050,4119-160-2001,Embreagem,1993-02-15,
,4119-160-2906,Tambor da embreagem,1995-02-14,
4119-160-2905,4119-160-2050,Embreagem com tambor,2006-04-10,
4119-190-0410,4119-190-0401,Tampa do arranque,1998-12-01,
4119-208-0013,4119-208-0021,"FS 160 Roçadeira,TrimCut 40-2",2015-09-18,
4119-210-0009,4119-210-0018,"FS 220 Roçadeira,TrimCut 40-2",2015-09-18,
4119-400-1200,4119-400-1201,Volante,1997-09-24,
4119-400-1300,0000-400-1302,Módulo de ignição,2005-08-06,
4119-440-1100,4119-440-1105,Cabo curto-circuito,2010-07-21,
4119-440-1105,4119-440-1107,Cabo curto-circuito,1997-09-26,
4119-640-0102,4128-640-0125,Engrenagem,2010-07-21,
4119-640-0505,4119-640-0506,Carcaça da engrenagem,2016-12-18,
4119-642-0600,4119-642-0601,Eixo de transmissão,1996-09-17,
4119-642-0605,4119-642-0606,Eixo de transmissão,1996-09-18,
4119-710-6300,4119-710-6306,Placa dorsal com cinta,2002-08-23,
4119-710-6400,4119-710-6406,Fecho com cinta,2012-08-23,
4119-710-7100,4119-710-7104,"Tubo do eixo Ø 28 mm x 1,55 m",1998-08-20,
4119-710-7102,4119-710-7100,"Tubo do eixo Ø 28 mm x 1,55 m",2016-05-04,
4119-710-7105,4119-710-7109,Tubo do eixo Ø 26 mm,1997-07-21,
4119-710-8100,4119-710-8101,Proteção Ø 420 mm,2000-02-04,
4119-710-8101,4119-007-1013,Jogo de proteção Ø 420 mm,1987-11-13,
4119-710-9011,4119-710-9012,Cinturão,2005-12-14,
4119-711-7200,4203-711-7201,Mangueira 960 mm,1998-10-15,
4119-713-4500,4119-710-8102,Proteção,2013-02-02,
4119-716-3200,4119-716-3203,Protetor,2010-02-08,
4119-717-2805,4119-717-2806,Anel de proteção,1989-10-24,
4119-791-0601,4133-791-0900,Peça de aperto,2017-07-29,
4119-791-1700,4119-790-1702,Tubo do punho,1999-05-17,
4119-890-3400,4128-890-3400,Chave combinada,1997-02-03,
4119-890-4500,4119-890-4501,Extrator,2004-05-19,
4123-195-8200,4137-195-8200,"Cordão de arranque Ø 2,7x910 mm",2002-07-19,
4124-640-0500,4133-641-0300,Carcaça da engrenagem,2012-09-04,
4124-710-7100,4124-710-7103,Tubo do eixo Ø 24 mm,2008-01-05,
4124-710-7103,4124-710-7105,Tubo do eixo Ø 24 mm,2013-06-24,
4125-717-2000,4133-717-2000,Capa,2011-09-12,
4126-121-0800,4117-121-0803,Tampa de fechamento,1989-06-14,
4126-182-0805,4126-182-0806,Trava do acelerador,2012-11-29,
4126-182-1006,4126-182-1007,Alavanca do acelerador de plástico,2016-01-22,
4126-190-0400,4126-190-0405,Tampa do arranque,2017-03-03,
4126-350-0400,4126-350-0405,Tanque de combustível,2015-09-26,
4126-350-0502,4133-350-0501,Tampa do tanque,2010-07-30,
4126-400-1000,4126-400-1001,Ignitor,2013-06-24,
4126-400-1200,4126-400-1201,Volante de aluminio,2011-12-01,
4126-640-0100,4135-640-0100,Engrenagem,2012-09-04,
4126-790-1101,4126-790-1102,Parte interna do punho,2013-12-04,
4128-790-0301,4128-790-0304,Cabo da mão direita,2008-12-11,
4126-791-0606,4126-791-0605,Peça de aperto,2011-11-14,
4126-791-7611,4132-791-7610,Apoio do cabo do punho,2000-03-28,
4126-890-3400,4119-890-3400,Chave combinada,1997-08-27,
4126-893-7800,4130-893-7800,Pino fixador,1997-08-26,
4128-160-0500,4128-160-0501,Carcaça da engrenagem,2009-05-27,
4128-180-1104,4128-180-1112,Cabo do acelerador,2010-10-07,
4128-182-3200,4128-182-3203,Cabo do acelerador,2010-06-15,
4128-350-0504,4128-350-0505,Tampa do tanque,1998-11-19,
4128-640-0125,4128-640-0101,Engrenagem,2002-04-11,
4128-640-7300,4128-640-7301,Jogo de pinhões,2014-02-22,
4128-641-0305,4128-641-0350,Carcaça da engrenagem,1999-08-16,
4128-717-2700,4128-717-2701,Anel de proteção,1999-06-09,
4128-790-0301,4128-790-0304,Cabo da mão direita,2008-12-11,
4128-790-1301,4128-790-1309,Cabo de manejo,2008-12-11,
4128-791-0800,4128-790-0300,Cabo da mão direita,1997-08-08,
4128-791-0810,4128-790-0300,Cabo da mão direita,1997-08-08,
4129-121-4800,1129-121-4800,Membrana da bomba,1998-04-22,
4129-122-3000,1123-122-3000,Mola,1999-02-18,
4129-129-0901,1123-129-0905,Junta de vedação,1998-04-22,
4129-400-1301,4222-400-1300,Bobina da ignição,2013-07-01,
4130-160-2905,4140-160-2900,Tambor da embreagem,2010-07-30,
4130-162-5000,4132-162-5000,Alavanca,1998-06-30,
4130-400-1200,4130-400-1250,Volante,2016-11-01,
4130-642-0610,4130-642-0601,Eixo de transmissão,1996-09-10,
4130-710-3801,4137-710-3800,Prato de pressão,1999-07-16,
4132-007-1061,4134-007-1060,Jogo peças do carburador,1996-12-16,
4132-120-0600,4126-120-0600,Carburador WT-45A,2012-11-14,
4132-120-0602,4135-120-0600,Carburador C1Q-SK5,2017-03-12,
4132-121-5400,4135-121-5400,Injetor da válvula,2006-04-19,
4132-710-7100,4132-710-7103,Tubo do eixo Ø 26 mm aluminio,2016-08-27,
4132-711-3300 ,4128-711-3300,Alma do eixo de aço,1995-12-20,
4133-190-2000,4133-190-2002,Arrastador,2013-05-14,
4133-195-0400,4133-195-0470,Polia,2017-07-21,
4133-195-0470,4137-190-1100,Polia com mola de recuo,2017-07-21,
4133-195-1600,4137-190-1100,Polia com mola de recuo,2017-07-21,
4133-195-7200,4133-195-7201,Peça de engate,2010-07-30,
4133-350-0501,4128-350-0505,Tampa do tanque,1998-11-19,
4134-030-0400,4134-030-0403,Virabrequim,2016-01-22,
4134-120-0606,4134-120-0655,Carburador C1Q-S164A,2009-07-03,
4134-140-2800,4134-140-2801,Carcaça do filtro,2009-03-18,
4134-190-0600,4134-190-0601,Mola de recuo,1997-08-25,
4135-034-3000,4129-034-3000,"Anel de compressão ferro fundido Ø37x1,5",2012-11-30,
4135-120-0600,4135-120-0602,Carburador SK5,2011-12-01,
4135-160-2000,4135-160-2001,Embreagem,2015-04-14,
4137-020-1200,4137-020-1201,Cilindro com pistão Ø 34 mm,2016-06-02,
4137-080-1600,4137-080-1604,Cobertura,2006-04-10,
4137-080-1601,4137-080-1604,Cobertura,2010-07-30,
4137-084-0900,4137-080-1601,Cobertura,2010-07-30,
4137-120-0603,4137-120-0611,Carburador C1Q-S80F,2005-08-07,
4137-120-0606,4137-120-0611,Carburador C1Q-S80F,2005-08-07,
4137-120-0608,4137-120-0611,Carburador C1Q-S80F,2005-08-07,
4137-120-0609,4137-120-0611,Carburador C1Q-S80F,2005-08-07,
4137-121-5602,1123-121-5602,Injetor fixo 0/46,2005-08-16,
4137-121-8900,4128-121-8900,Pino,1997-07-10,
4137-160-2000,4137-160-2001,Embreagem,2004-07-28,
4137-182-0800,4137-182-0801,Trava do acelerador,1998-12-09,
4137-350-0400,4137-350-0410,Tanque de combustível,2006-05-24,
4137-400-1305,4137-400-1307,Módulo de ignição,2010-07-30,
4137-400-1307,4137-400-1350,Módulo de ignição,2013-05-14,
4137-710-6700,4140-007-1006,Jogo braçadeira,NaT,
4137-710-7100,4137-710-7108,"Tubo do eixo Ø 25,4 mm x 1,5 m",1998-11-19,
4137-790-1700,4137-790-1701,Tubo do punho,1996-09-16,
4138-205-0006,4182-200-0028,"HT Implemento Moto-poda,30cm/12"",61PMN",2010-06-02,
4138-205-0006,4182-200-0028,"HT Implemento Moto-poda,30cm/12"",61PMN",2010-06-02,
4138-200-0005,4138-200-0029,"HT 75 Moto-poda,30cm/12"",61PMM3",2016-06-07,
4138-640-0120,4138-640-0111,Engrenagem,2002-09-16,
4138-640-7303,4182-640-7303,"Jogo de pinhões 1,27",2014-08-28,
4138-710-7100,4138-710-7115,"Tubo do eixo Ø 25,4 mm",2004-03-15,
4138-710-7103,4182-710-7110,Haste telescópica,2007-07-11,
4140-120-0612,4140-120-0617,Carburador C1Q-S160,2011-05-07,
4140-160-2900,4140-160-2901,Tambor da embreagem,2016-11-20,
4140-162-9100,4140-162-9101,Luva espaçadora,2004-12-14,
4140-400-1305,4140-400-1308,Módulo de ignição,2010-08-11,
4140-400-1303,4140-400-1309,Módulo de ignição,2011-03-15,
4140-400-1307,4140-400-1308,Módulo de ignição,2010-08-11,
4140-430-0200,4229-430-0201,Chave do interruptor,2010-07-21,
4140-710-1700,4140-710-1702,"Tubo do eixo Ø 25,4 mm",1998-08-07,
4140-790-0300,4140-790-0301,Cabo da mão,2008-12-01,
4140-790-1302,4140-790-1304,Cabo de manejo,2008-12-01,
4140-120-0614,4140-120-0617,Carburador C1Q-S160,2011-05-07,
4140-120-0617,4140-120-0620,Carburador C1Q-S187B,2010-07-06,
4180-020-1201,4180-020-1206,Cilindro com pistão Ø 43 mm,2009-10-08,
4180-180-1100,4180-180-1150,Cabo do acelerador,2013-04-03,
4180-180-1101,4180-180-1151,Cabo do acelerador,2013-02-22,
4180-182-7600,4180-182-7601,Peça tensora,2010-08-12,
4180-350-0415,4180-350-0424,Tanque de combustível,2015-01-28,
4180-350-1400,4180-350-1402,Elemento de fixação,2010-12-20,
4180-358-7700,4180-350-1402,Elemento de fixação,2010-12-20,
4182-200-0032,4182-200-0056,Implem/ KA - HT Motopoda,2015-12-08,
4182-640-0103,4182-640-0104,Engrenagem,2013-10-11,
4182-710-7107,4182-710-7110,Haste telescópica,2007-07-11,
4182-710-7109,4182-710-7111,Tubo do eixo,2010-08-13,
4201-007-1012,4201-007-1035,Mancal com proteção Ø 300 mm,2005-08-07,
4201-007-1035,4223-007-1005,Mancal com proteção Ø 300 mm,2010-12-09,
4201-020-1205,4201-020-1200,Cilindro com pistão Ø 49 mm,1997-03-14,
4201-120-0604,4201-120-0611,Carburador HL-372A,1998-04-01,
4201-121-0400,6503-121-0400,Prato superior,2010-07-16,
4201-140-1805,4201-140-1801,Filtro adicional,1997-09-05,
4201-141-0800,4201-140-2800,Carcaça do filtro,2009-11-11,
4201-141-1200,4201-140-2100,Abafador de Plástico,2009-11-11,
4201-141-7100,4201-140-7200,Grade proteção,1993-04-29,
9416-868-7030,,,NaT,
4201-007-1038,4201-007-1014,Jogo conexão para agua,2005-05-10,
4201-034-3000,1127-034-3007,"Anel de compressão Ø 49x1,5 mm",1997-09-04,
4201-121-0400,6503-121-0400,Prato superior,2010-07-16,
4201-148-8800,4201-140-1801,Filtro adicional,1997-09-05,
4201-209-0803,4201-209-0005,"TS 350 Cortador de pedra/ferro,300mm/12""",2009-05-27,
4201-677-1007,4224-677-8201,Nípel,2004-09-23,
4201-677-1008,4224-677-8202,Nípel,2004-09-23,
4201-700-2505,4201-700-2506,Polia da correia,1999-09-27,
4201-708-3003,4201-708-3004,"Arruela de pressão Ø  62,65x102,5x3 mm",1997-11-11,
4201-708-3013,4201-708-3014,"Arruela de pressão Ø 10x102,5x3 mm",1998-01-26,
4201-708-3100,9771-021-0920,"Braçadeira da mangueira de aço 9,5/7",2010-08-03,
4201-708-8600,4224-677-8200,Nípel,2013-04-09,
4202-141-0500,4202-141-0505,Tampa do filtro,2003-08-18,
4002-710-9600,4002-710-9601,Prato superior,2006-09-14,
4002-710-2122,4002-710-2152,Cabeçote de corte TrimCut 31-2,2007-07-26,
4203-007-1016,4203-007-1026,Jogo bomba de pressão,2009-04-14,
4203-007-1026,4203-007-1029,Jogo bomba de pressão (ULV),2011-01-06,
4203-007-1027,4203-007-1013,Jogo disp/pulveriz/(atomiz//polvilhada),1991-06-20,
4203-007-1030,4203-007-1044,Jogo de conversão BR/SR,2013-02-22,
4203-007-1031,4203-007-1045,Jogo de conversão,2012-07-09,
4203-120-0604,4203-120-0608,Carburador HD-28A,2010-07-21,
4203-120-0608,4203-120-0610,Carburador HD-45,2008-10-21,
4203-140-2805,4203-140-2806,Carcaça do filtro de magnésio,2006-05-16,
4203-180-1103,4203-180-1104,Cabo do acelerador,2010-07-21,
4203-182-0801,4203-182-2900,Alavanca de regulagem de plástico,2010-07-30,
4203-182-2101,4203-182-2102,Suporte do cabo do acelerador,2002-11-28,
4203-182-9500,4203-182-9501,Botão giratório,1998-07-28,
4203-219-0001,4203-011-2606,SR 420 Pulverizador,2011-08-23,
4203-350-0402,4203-350-0403,Tanque de combustível,2010-07-21,
4203-350-0403,4203-350-0450,Tanque de combustível,2011-03-12,
4203-350-0406,4203-350-0450,Tanque de combustível,2011-03-12,
4203-350-0501,4203-350-0502,Tampa do tanque,1998-03-19,
4203-350-2750,4203-350-7600,Mangueira,1999-01-12,
4203-350-0450,4203-350-0451,Tanque de combustível,2010-06-14,
4203-700-4103,4203-700-4104,Carcaça do ventilador,1999-01-12,
4203-700-4500,4203-700-4501,Registro de fechamento,2004-09-06,
4203-700-6306,4203-700-6310,Bocal standard,2014-03-15,
4203-708-4002,4203-708-4001,Peça dosadora,2016-01-22,
4203-790-1302,4203-790-1304,Cabo de manejo,2010-07-21,
4203-790-1304,4203-790-1305,Cabo de manejo,2010-07-21,
4203-790-8000,4203-790-8001,Almofada para as costas plástico/espuma,2005-08-07,
4203-709-2000,4203-709-2002,Anel de vedação,2006-09-14,
4205-141-0802,4205-140-2850,Carcaça do filtro,2005-08-07,
4205-141-8601,4205-141-8604,Mangueira 365 mm,2013-05-28,
4205-350-0500,4205-350-0550,Tampa do tanque,2005-01-12,
4205-700-8106,4224-700-8105,Proteção Ø 400 mm,2016-09-22,
4205-791-3900,4205-791-3901,Mancal,2005-08-07,
4214-140-0600,4702-140-0651,Silenciador,1996-11-25,
4215-190-2000,4129-190-2000,Arrastador de aço,2012-11-30,
4221-007-1004,4221-007-1012,Kit suporte com proteção Ø 350 mm,2012-09-08,
4221-007-1012,4221-007-1008,Mancal com proteção Ø 350 mm,1996-03-08,
4221-890-1400,4223-890-1400,Jogo de ferramentas,2006-08-03,
4223-007-1005,4223-007-1007,Mancal com proteção Ø 300 mm,1995-04-18,
4223-700-8110,4238-700-8110,Proteção Ø 300 mm,2016-09-22,
4226-011-2920,4226-011-2931,"HS 80 Z 24""600 DS,DG STIHL Podador",2016-10-17,
4226-120-0602,4226-120-0604,Carburador C1Q-S42C,2010-08-13,
4226-162-7900,4228-162-7903,Mola de tração,2009-06-19,
4226-182-7605,4226-182-7601,Peça tensora,2010-08-02,
4226-350-0405,4226-350-0401,Tanque de combustível,2016-07-28,
4226-350-0502,4226-350-0503,Tampa do tanque,1998-12-03,
4226-358-0702,4226-358-0705,Mangueira de combustível,2011-03-03,
4226-640-0501,4226-640-0502,Carcaça da engrenagem,2016-05-19,
4226-710-5901,4226-710-5903,"Jogo barra de corte 600 mm / 24""",1999-03-01,
4226-710-6020,4226-710-6052,"Lâmina 550 mm / 22""",2016-04-07,
4226-792-9110,4226-792-9102,Proteção da mão,2010-07-30,
4227-700-9300,4227-700-2300,Parafuso de fechamento,2010-07-30,
4228-120-0604,4228-120-0606,Carburador C1Q-S70A,2010-07-21,
4228-120-0606,4228-120-0607,Carburador C1Q-S150,2010-06-01,
4228-120-0607,4228-120-0609,Carburador C1Q-S170D,2009-08-31,
4228-641-4900,4237-641-4903,Luva,2008-10-13,
4229-120-2202,4229-120-2204,Flange,2013-05-15,
4229-121-5601,4137-121-5603,Injetor fixo 0/34,1999-05-11,
4229-121-5603,4137-121-5602,Injetor fixo 0/46,2010-10-04,
4229-121-5800,4314-121-5800,Êmbolo da bomba,2007-12-14,
4229-121-5801,4229-121-5802,Êmbolo da bomba,2007-10-01,
4229-122-6801,4237-122-6800,Parafuso de regulagem da marcha lenta,2007-09-19,
4230-640-4512,4230-640-4513,Sistema de retenção,2006-08-09,
4230-640-5801,4230-640-5804,Tampa da engrenagem,2005-04-04,
4230-710-6002,4230-710-6050,"Lâmina 500 mm / 20""",2011-06-23,
4230-710-6050,4230-710-6053,"Lâmina 500 mm / 20""",2005-06-20,
4230-640-4512,4230-640-4513,Sistema de retenção,2006-08-09,
4230-640-7502,4230-640-7503,Roda dentada,2007-05-23,
4231-160-2000,4137-160-2001,Embreagem,2004-07-28,
4231-640-0500,4231-640-0501,Carcaça da engrenagem,2015-05-01,
4231-640-5800,4231-640-5801,Tampa da engrenagem,2015-05-01,
4231-640-7501,4231-640-7502,Roda dentada,2013-11-09,
4231-640-7502,4231-640-7504,Roda dentada,2015-05-01,
,4231-640-7550,Roda dentada,2015-05-01,
4231-710-1700,4231-710-1750,Tubo do eixo,2015-05-01,
4231-710-1701,4231-710-1751,Tubo do eixo,2015-05-01,
4231-710-1702,4231-710-7105,Tubo eixo 2m,2016-04-25,
4231-710-1703,4231-710-7106,Tubo do eixo 1 m,2015-08-29,
4231-710-1705,4231-710-7107,Tubo do eixo,2013-02-14,
4231-710-3200,4231-711-3201,Eixo de acionamento,2006-06-19,
4231-710-7110,4137-710-7108,"Tubo do eixo Ø 25,4 mm x 1,5 m",1998-11-19,
4231-711-3201,4231-710-3202,Eixo de acionamento,2016-01-28,
4231-740-4200,4231-740-4201,Amoretecedor elástico,2002-07-09,
4231-740-7300,4231-740-7302,Haste martelete,2015-05-01,
4231-740-7301,4231-740-7303,Haste martelete,2015-05-01,
4231-740-7251,4231-740-7252,Garra,2008-06-24,
4231-740-7700,4231-740-7701,Ponteira,2015-05-01,
4231-740-9101,4231-740-9103,Elo da corrente,2007-03-01,
4231-744-7000,4231-740-7251,Garra,2011-10-15,
4232-350-0401,4232-350-0411,Tanque de combustível,2010-09-27,
4237-080-2102,4237-080-2108,Carcaça do ventilador c/disp/ arranque,2016-01-22,
4237-100-1201,4237-400-1202,Volante de aluminio,2008-02-19,
4237-120-0603,4237-120-0605,Carburador C1Q-S116B,2011-12-15,
4237-140-1000,4237-140-1003,Tampa do filtro,2009-10-07,
4237-350-0405,4237-350-0450,Tanque de combustível,2015-08-29,
4237-358-0800,4237-350-7603,Mangueira,2011-05-03,
4237-400-1201,4237-400-1202,Volante de aluminio,2008-02-19,
