codigo_antigo,codigo_novo,descricao,data_alteracao,unnamed_7
0811-411-8068,5605-773-3512,"Lima redonda 3,5x200",1996-11-26,
0811-411-8088,5605-773-4812,"Lima redonda 4,8x200",1996-11-26,
0811-411-8108,5605-773-5512,"Lima redonda 5,5x200",1996-11-26,
0812-370-1145,0812-370-1000,Chave angular para parafuso T27x120x70,1999-09-29,
0812-390-1821,0000-890-2305,Chave de fenda aço SAE1045,2017-01-19,
0835-010-2003,0835-010-7000,"Disco de corte K-ME Ø 300mm/12""",1999-08-06,
0835-020-2003,0835-020-7000,"Disco de corte K-BA Ø 300mm/12""",2012-05-14,
0835-030-1003,0835-030-7000,"Disco de corte K-DG Ø 300mm/12""",1999-08-06,
1106-121-4802,1106-121-4803,Membrana da bomba,1990-05-17,
1106-121-4815,1106-121-4803,Membrana da bomba,1990-05-17,
1106-122-7200,1106-122-7201,Parafuso cilíndrico,1997-02-20,
1106-640-3600,1108-640-3600,Tampa do tanque de óleo,1997-09-18,
1106-664-1500,1106-664-1501,Porca tensora,1997-09-22,
1106-850-2905,0000-850-1300,Bomba,2004-12-10,
1107-191-1200,1107-191-1201,Parafuso de encosto,1997-09-22,
1107-405-0600,0000-930-2201,Cabo de ignição,2014-12-05,
1108-007-1050,1108-007-1051,Jogo de juntas de vedação,2009-04-06,
1108-020-1220,4702-020-1200,Cilindro com pistão Ø 47 mm,1996-11-25,
1108-020-2516,1108-020-2517,Carcaça do virabrequim,1988-12-09,
1108-080-1806,1108-080-1805,Carcaça do ventilador,1990-02-27,
1108-080-2005,1108-080-2000,Cj/ carcaça do ventilador,2004-08-26,
1108-080-2100,,,NaT,
1108-080-2010,1108-080-2111,Carcaça do ventilador c/disp/ arranque,1997-03-12,
1108-080-2110,,,NaT,
1108-080-2112,,,NaT,
1108-120-0607,1108-120-0613,Carburador LA-S8A,2004-09-02,
1108-120-0610,1108-007-1008,Jogo de conversão HL-351A,2015-01-31,
1108-120-1611,1108-120-1600,Filtro de ar,1985-06-27,
1108-120-2300,1108-120-2310,Flange,2006-10-06,
1108-120-2390,1108-120-2300,Flange intermediário,1991-08-15,/PPRET1/FP48~AGPQ
1108-121-2200,1108-121-2290,Chapa de refrigeração,1992-06-09,/FS~R
1108-121-7200,,,NaT,
1108-122-7410,1111-122-7102,Parafuso,2009-02-17,
1108-140-1100,1108-140-1101,Suporte do filtro,2008-04-15,
1108-358-7601,1108-350-5800,Respiro do tanque,1997-09-18,
1108-640-1702,1108-640-1705,Tampa do pinhão da corrente,1997-02-20,
1108-640-2102,1108-640-2115,Tampa do pinhão com tubo do punho,1999-10-14,
1108-790-9100,1108-792-9106,Proteção da mão,1997-04-08,
1108-791-2000,0000-791-2004,Mangueira Ø 18 mm x 5 m,2015-08-18,
1108-890-1403,1108-890-1404,Jogo de ferramentas,1997-02-20,
1110-121-0811,1111-121-0803,Tampa de fechamento,2013-05-14,
1110-121-4801,1110-121-4800,Membrana da bomba,2010-07-16,
1110-121-5000,1124-121-5000,Alavanca de regulagem de admissão,1998-01-22,
1110-121-7810,4221-121-7800,Tela,1993-08-20,
1110-122-3000,1108-122-3001,Mola,1997-02-19,
1110-140-9500,1110-140-9501,Porca de fechamento,1991-08-16,
1110-141-8600,0712-923-1033,"Mangueira de combustível 1,3 m",2000-04-12,
1110-141-8601,0712-923-1033,"Mangueira de combustível 1,3 m",2000-04-12,
1110-195-3400,1121-195-3400,Manipulo de arranque de polietileno,2016-11-28,
1110-350-0500,1110-350-0501,Tampa do tanque,2005-10-06,
1110-353-1600,0000-353-1601,Válvula,2005-08-06,
1110-358-1800,0000-350-3500,Cabeçote de aspiração,1998-12-18,
1110-664-0501,1117-664-0501,Batente de garras,2017-08-04,
1110-664-1500,1120-664-1500,Porca tensora,1997-08-25,
1111-007-1022,1111-640-7111,Sem-fim,1997-09-18,
,1111-647-0601,Êmbolo da bomba,1997-04-18,
1111-007-1023,1111-640-3201,Bomba óleo,1997-01-21,
,1111-640-7111,Sem-fim,1997-09-18,
1111-007-1043,1111-140-0614,Silenciador,1994-04-27,
,9045-341-1080,Parafuso allen M5x35,2016-01-15,
1111-020-1202,1111-020-1200,Cilindro com pistão Ø 52 mm,2015-05-18,
1111-020-2103,1111-020-2102,Carcaça do virabrequim,1983-07-18,
1111-020-2118,1111-020-2116,Carcaça do virabrequim,1983-07-04,
1111-020-9405,1111-025-2200,Bujão,1983-09-27,
,1111-022-9400,Parafuso de fechamento,1994-04-27,
1111-021-1605,1111-021-1606,Chapa defletora,1997-09-24,
1111-030-0403,1111-030-0402,Virabrequim de aço,2016-08-03,
1111-080-1600,4205-080-1600,"Cobertura de alumínio,aço,fibra celulose",1999-09-20,
1111-080-1820,1111-080-1825,Carcaça do ventilador,1984-10-18,
1111-080-2111,1111-080-2110,Carcaça do ventilador c/disp/ arranque,1997-03-12,
1111-080-3101,1111-080-3100,Tampa do ventilador,1984-04-18,
1111-120-0601,1111-120-0608,Carburador WJ-112A,2006-10-02,
1111-120-0604,1111-120-0601,Carburador HS-60D,2010-07-21,
1111-120-2200,1111-120-2203,Flange,1994-02-02,
1111-121-4800,1111-007-1070,Jogo membrana da bomba,2016-01-02,
1111-140-0600,1111-140-0650,Silenciador,2015-08-19,
1111-141-0502,1111-141-0505,Tampa do filtro,2017-06-07,
1111-141-0505,1111-141-0504,Tampa do filtro,1996-06-10,
1111-141-0801,1111-140-2801,Carcaça do filtro,1999-02-08,
1111-146-6006,1111-140-0650,Silenciador,2015-08-19,
1111-182-1500,1111-182-1501,Tirante do acelerador,1997-09-18,
1111-185-2000,1111-185-2001,Alavanca do afogador,1997-11-24,
1111-350-3500,1115-350-3502,Cabeçote de aspiração,2010-07-30,
1111-358-2500,1115-358-2500,Capa,2010-07-21,
1111-358-9100,1115-358-8200,Peso,2010-08-02,
1111-400-1000,1111-400-1303,Módulo de ignição,1997-10-09,
1111-400-1301,,,NaT,
1111-405-0600,0000-930-2201,Cabo de ignição,2014-12-05,
1111-430-0201,1111-430-0210,Chave do interruptor,1991-05-24,
1111-430-0202,1111-430-0210,Chave do interruptor,1991-05-24,
1111-640-7110,1111-007-1022,Jogo êmbolo da bomba,2012-04-26,
1111-647-0600,1111-007-1022,Jogo êmbolo da bomba,2012-04-26,
1111-790-1700,1111-790-1701,Tubo do punho,1994-04-27,
1111-791-2002,0000-791-2005,Mangueira Ø 23 mm x 5 m,1997-03-12,
1111-791-4901,1111-791-4902,Quadro do punho,1997-03-04,
1111-792-9100,1113-792-9103,Proteção da mão,2016-08-03,
1111-890-1400,1111-890-1420,Jogo de ferramentas,1994-04-27,
1113-182-8900,1113-182-8901,Pino,1982-07-02,
1114-034-3001,4119-034-3003,"Anel de compressão de aço Ø 40x1,5 mm",2011-03-25,
1114-432-2000,4702-432-2000,Corrediça,1989-12-21,
1114-890-3401,1129-890-3401,Chave combinada,1997-08-15,
1115-034-3001,1115-034-3010,"Anel de compressão Ø 52x1,5 mm",2010-07-21,
1115-122-7101,1106-122-7400,Parafuso cabeça redonda,1997-02-20,
1115-350-3502,,,NaT,
1115-350-3503,,,NaT,
1115-358-2500,0000-350-3500,Cabeçote de aspiração,1998-12-18,
1116-893-0800,5910-893-0801,Extrator,2008-02-25,
1117-034-3000,1127-034-3000,"Anel de compressão Ø 49x1,5 mm",2006-04-10,
1117-162-7900,1119-162-7900,Mola de tração,1994-10-24,
1117-182-0800,1117-007-1009,Jogo alavanca do acelerador,2010-07-30,
1117-190-1010,1117-007-1014,Jogo polia,1999-02-09,
1117-195-0301,1117-190-0601,Mola de recuo,1997-09-17,
1117-350-0500,0000-350-0520,Tampa do tanque,1995-05-29,
1117-350-0900,1117-350-0905,Presilha de segurança,1997-08-11,
1117-358-7705,1117-350-5800,Respiro do tanque,1983-06-29,
1117-442-0905,1125-442-0402,Mangueira de isolamento 90 mm,1997-10-09,
1117-640-3600,0000-350-0510,Tampa do tanque,1992-10-20,
1117-646-0600,0000-350-0515,Tampa do tanque,1997-10-09,
1117-647-6801,1117-640-3800,Cabeçote de aspiração,1991-08-06,
1117-664-0501,1128-664-0500,Batente de garras,1991-08-16,
1117-664-1000,1119-664-1000,Chapa lateral,2003-09-17,
1117-664-1100,1121-648-6610,Prisma deslizante de poliamida,2011-03-23,
