unnamed_2,unnamed_4,codigo_material,preco_real,qtde_min,descricao,unnamed_9,utilizacao,unnamed_11,unnamed_12,s,t,ipi,ncm_classif_fiscal,codigo_barras,unnamed_18,unnamed_19
,,0000-881-9904,239.0,1.0,Lâmina do Serrote de poda PR 33 (0000-881-8702),,,,,1.0,10.0,52.0,82029990.0,886661142392.0,,
,,0000-881-4111,469.0,1.0,"Lâmina de 32 cm. Recomendado para podas no reflorestamento, manutenção de jardins e árvores frutíferas.",,,,,1.0,10.0,52.0,82021000.0,795711106478.0,,
,,0000-881-9001,189.0,1.0,Lâmina do Serrote de Poda (0000-881-4111),,,,,1.0,10.0,52.0,82029990.0,795711126704.0,,
,,0000-881-2201,79.0,1.0,Cunha - 190g,,Recomendado para atividades de colheita e manejo florestal.,,,1.0,10.0,0.0,82019000.0,795711002930.0,,
,,0000-881-2222,249.0,1.0,Cunha - 600g,,,,,1.0,10.0,0.0,82019000.0,886661015290.0,,
,,0000-881-2224,379.0,1.0,Cunha - 1000g,,,,,1.0,10.0,0.0,82019000.0,886661015313.0,,
,,0000-881-2221,399.0,1.0,Cunha espiral - 920g,,,,,1.0,10.0,0.0,82019000.0,795711953973.0,,
,,0000-881-2701,409.0,1.0,Alavanca para derrubada 76cm,,Recomendada para atividades de colheita e manejo florestal.,,,1.0,10.0,0.0,82019000.0,795711003142.0,,
,,0000-881-2700,679.0,1.0,Alavanca para derrubada 130cm,"Jogo de afiação 1/4"", 3/8"" P",,,,1.0,10.0,0.0,82019000.0,795711003135.0,,
,,0000-881-2710,99.0,1.0,Gancho,,Alavancas de derrubada - 130cm e 80cm,,,1.0,10.0,0.0,82019000.0,795711003197.0,,
,,0000-881-1969,239.0,1.0,Machadinha AX 6,,Podas ocasionais,SAE 1045,"0,6 kg",1.0,10.0,0.0,82014000.0,886661015276.0,,
,,0000-881-1971,349.0,1.0,Machado florestal AX 10,,Podas ocasionais e Florestal,SAE 1045,1 kg,1.0,10.0,0.0,82014000.0,886661015283.0,,
,,0000-881-2009,299.0,1.0,Martelo para rachar AX 30 C,,Ativ. colheita e manejo,SAE 1045,3 kg,1.0,10.0,0.0,82014000.0,795711002534.0,,
,,0000-881-1957,729.0,1.0,Machado florestal AX 16 S,,Podas ocasionais e Florestal,,"1,55 kg",1.0,10.0,0.0,82014000.0,795711379940.0,,
,,0000-881-2011,689.0,1.0,Martelo para rachar AX 33 CS,,Poda Florestal,,"3,3 kg",1.0,10.0,0.0,82014000.0,795711365516.0,,
,,0000-881-6801,379.0,1.0,Machadinha AX 6 P,,Podas ocasionais,,"0,64 kg",1.0,10.0,0.0,82014000.0,886661552825.0,,
,,0000-881-6701,659.0,1.0,Machado florestal AX 15 P,,Podas ocasionais e Florestal,,"1,45 kg",1.0,10.0,0.0,82014000.0,886661552832.0,,
,,0000-881-6602,729.0,1.0,Machado para rachar AX 20 PC,,Poda Florestal,,"1,95 kg",1.0,10.0,0.0,82014000.0,886661552849.0,,
,,0000-881-4504,1238.0,1.0,Cabo de lima,,"Limas redondas de 3,2 – 5,5 mm de Limas chatas diâmetro",,,1.0,10.0,975.0,39269090.0,886661396276.0,,
,,0000-881-4500,3633.0,1.0,Cabo da lima,,Limas redonda e chata,,,1.0,10.0,975.0,39269090.0,795711004088.0,,
,,0000-881-4502,3901.0,1.0,Cabo da lima FH1,,Limas redonda,,,1.0,10.0,975.0,39269090.0,795711162702.0,,
,,0000-881-4503,3901.0,1.0,Cabo da lima FH3,,Lima chata,,,1.0,10.0,975.0,39269090.0,795711162719.0,,
,,0814-252-3356,1679.0,12.0,"Lima chata 150x16x2,7",,Para correntes 3/8,,,1.0,10.0,52.0,82031010.0,795711019501.0,,
