unnamed_1,codigo_material,preco_real,qtde_min,descricao,modelo,comentario,s,t,ipi,classif_fiscal,codigo_barras
,4001-713-3803,6431.0,1.0,Lâmina 230-8,KA85R KM55R KM85R FR85 FR220 E65 FS44 FS55 FS80 FS85 FS86 FS106 FS108 FS120 FS130 FS250 FS220 FS350 FS380 FS460,,1.0,10.0,52.0,82084000.0,795711043421.0
,4001-713-3805,4144.0,1.0,Lâmina 230-2,KA85R KM55R KM85R FR85 FR220 E65 FS44 FS55 FS80 FS85 FS86 FS106 FS108 FS120 FS130 FS250 FS220,,5.0,10.0,52.0,82084000.0,795711117825.0
,4001-713-3812,693.0,1.0,Lâmina 260-2,FS80 FS85 FS120 FS130 KA85R KM85R KA120R,,1.0,10.0,52.0,82084000.0,886661117505.0
,4112-713-4100,7099.0,1.0,"Lâmina de 3 facas, Ø 250 mm",KA85R KM55R KM85R KMFR 220 KMFS 55 KM80 KM85 KM120 KM131,,8.0,10.0,52.0,82084000.0,795711043858.0
,4119-713-4100,10457.0,1.0,"Lâmina de 3 facas, Ø 300 mm",FS160 FS220 FS280 FS290 FS300 FS350 FS380 FS460,,5.0,10.0,52.0,82084000.0,795711047214.0
,4133-713-4101,3132.0,1.0,"Lâmina Ø 200x2,4 mm",FCS,,1.0,10.0,52.0,82084000.0,795711115142.0
,4000-713-3903,31359.0,1.0,Lâmina do triturador 270-2,FS160 FS220 FS290 FS300 FS350 FS380 FS460,,1.0,10.0,52.0,82084000.0,795711318291.0
,FA01-717-3000,6108.0,1.0,Proteção p/transporte,FS,,1.0,10.0,975.0,39269090.0,886661515356.0
,4116-790-3901,8995.0,1.0,Proteção p/transporte Ø 350,FS130 FS300 FS350,,1.0,10.0,975.0,39269090.0,795711538019.0
,4119-790-3901,5475.0,1.0,Proteção p/transporte Ø 225,FS88 FS108 FS120 FS250 FR108,,1.0,10.0,975.0,39269090.0,795711539856.0
,4180-740-5101,1299.0,1.0,RG Removedor de ervas daninhas,FS85 FS120 FS131KA85R FS120R,,1.0,10.0,52.0,82079000.0,886661867301.0
,4180-007-4100,38855.0,1.0,Jogo de manutenção RG / RG-KM,RG Removedor de ervas daninhas,,1.0,10.0,52.0,84679900.0,886661122172.0
,4000-713-4200,9932.0,1.0,"Serra circular 200-44, standard",FS160 FS220 FS280 FS290 FS300 FS350 FS380 FS460,,1.0,10.0,52.0,82023100.0,795711043384.0
,4110-713-4204,12008.0,1.0,"Serra circular 225-24, especial",FS160 FS220 FS280 FS290 FS300 FS350 FS380 FS460,,1.0,10.0,52.0,82023100.0,795711043827.0
,4112-713-4201,9926.0,1.0,"Serra circular 200-80, standard",FS85 FS86 FS88 FS106 FS108 FS120 FS130 FS250,,1.0,10.0,52.0,82023100.0,795711043865.0
,4112-713-4203,9935.0,1.0,"Serra circular 200-22, especial",FS85 FS86 FS88 FS106 FS108 FS120 FS130 FS250,,1.0,10.0,52.0,82023100.0,795711043872.0
,4119-713-4200,9936.0,1.0,"Serra circular 200-22, especial",FS160 FS220 FS280 FS290 FS300 FS350 FS380 FS460,,1.0,10.0,52.0,82023100.0,795711047221.0
,4020-893-5000,8894.0,1.0,Travador para serras,Travador para Serra Circular FS85 160 220 290 300 350 380 460,,1.0,10.0,5.0,73269090.0,795711072148.0
,5605-750-4343,109.0,1.0,Suporte para lima,FS86 FS88 FS106 FS108 FS160 FS220 FR106 FR108,,1.0,10.0,52.0,82031010.0,795711072483.0
