codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
1250-400-2111,815.43,1,Unidade de comando,MSA160 MSA220,1,0,9.75,85371030,886661349685
1250-430-0500,17.58,1,Interruptor,MSA120 MSA140 MSA160 MSA160T MSA200 TSA230 HSA66,1,10,9.75,85365090,795711525422
1250-430-0501,72.2,1,Interruptor,MSA160 MSA200,1,10,9.75,85365090,795711810627
1250-430-1400,815.39,1,Módulo electrônico,MSA160,1,10,9.75,85113020,795711805579
1250-430-1402,815.39,1,Módulo electrônico,MSA200,1,0,9.75,90328990,886661175659
1250-435-1500,4.16,3,Grampo,MSA160 MSA200,1,10,6.5,73182400,795711953164
1250-435-2101,3.72,1,Mola com haste,MSA160 MSA200,1,10,9.75,73202010,795711944681
1250-435-2401,15.04,1,Alavanca do interruptor,MSA160 MSA200,1,10,5.2,84679900,886661038145
1250-435-7800,10.03,1,Botão de bloqueio,MSA120 MSA140 MSA160 MSA200 TSA230,1,10,5.2,84679100,795711688240
1250-600-0200,762.82,1,Motor elétrico,MSA160 RMA370,1,0,6.5,85013110,795711524876
1250-600-0203,739.57,1,Motor elétrico,MSA160 MSA200,1,0,0.0,85013210,886661174102
1250-640-1703,88.49,1,Tampa do pinhão da corrente MSA 160,MSA160,1,10,5.2,84679100,886661261987
1250-640-7101,18.92,1,Sem-fim,MSA160 MSA200,1,10,0.0,84839000,886661065684
1250-642-1200,49.42,1,"Pinhão da corrente 1/4""P 7D",MSA160 MSA200,1,10,0.0,84834090,795711526542
1250-647-2001,38.77,1,Sem-fim,MSA160,1,10,0.0,84839000,795711963996
1250-790-0600,25.0,1,Cobertura do punho,MSA160,1,10,5.2,84679100,886661665105
1250-790-1007,414.9,1,Carcaça do punho,MSA160 MSA200 MSA220,1,10,5.2,84679100,886661875726
1250-791-1004,69.6,1,Carcaça do punho,MSA160 MSA200 TSA230,1,10,5.2,84679100,886661178971
1250-791-1700,87.97,1,Tubo do punho,MSA160 MSA200,1,10,5.2,84679100,795711686451
1250-791-3100,5.96,1,Mola,MSA160 MSA200 TSA230,1,10,9.75,73209000,795711526870
1250-792-9100,36.48,1,Proteção da mão,MSA160 MSA200,1,10,5.2,84679100,795711526368
1250-890-2200,256.3,1,Ferramenta de montagem,MSA160 MS170 MS180 MS210 MS230 MS250,1,10,5.2,82055900,795711872854
1250-967-1808,10.08,1,Placa de características MSA 160 JP,MSA160,1,10,9.75,39191090,886661258918
1251-021-1100,24.1,1,Tampa,MSA200,1,10,5.2,84679100,795711935740
1251-021-1101,19.98,1,Tampa,MSA200,1,10,5.2,84679100,886661178995
1251-080-1600,43.16,1,Cobertura,MSA220,1,10,5.2,84679100,886661844043
1251-400-0612,125.04,1,Placa de contato,MSA220,1,10,5.2,84679100,886661349678
1251-400-2100,972.75,1,Unidade de comando,MSA200,1,0,9.75,85371090,886661259090
1251-404-8100,30.57,1,Tampa,MSA200,1,10,5.2,84679100,886661810192
1251-430-1400,972.75,1,Módulo electrônico,MSA200,1,10,9.75,85113020,795711935757
1251-430-1401,972.75,1,Módulo electrônico,MSA200,1,0,9.75,90328990,886661175666
1251-430-1402,1058.57,1,Módulo electrônico,MSA220,1,0,9.75,85371030,886661621361
1251-600-0200,825.05,1,Motor elétrico,MSA200,1,0,0.0,85013210,795711935733
1251-600-0201,825.05,1,Motor elétrico,MSA200,1,0,0.0,85013210,886661174096
1251-600-0202,871.67,1,Motor elétrico,MSA220,1,0,0.0,85013210,886661578658
1251-640-1707,61.02,1,Tampa do pinhão da corrente MSA 200,MSA160 MSA200,1,10,5.2,84679100,886661261994
1251-640-1708,58.23,1,Tampa do pinhão da corrente MSA 220,MSA220,1,10,5.2,84679100,886661763955
