unnamed_1,unnamed_2,unnamed_3,codigo_material,preco_real,descricao,qtde_min,bateria_recomendada,kit,tensao_carregador,tensao_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,t,ipi,ncm_classif_fiscal,cod_barras
,,,4512-011-5707,649.0,FSA 45 Roçadeira a bateria,1.0,Bivolt,Bateria integrada e carregador,18,PolyCut 2-2 ,"Lâminas plásticas:  230
Fio de nylon : 250",,"Lâminas plásticas:  20
Fio de nylon : 12",23.0,1.0,10.0,52.0,84672999.0,886661398454.0
,,,4522-011-5747,1399.0,"FSA 57 SET Roçadeira a bateria, AutoCut",1.0,AK 10,"Bateria AK 10
Carregador AL 101 -127v",127V,36,AutoCut C 3-2,,280,35.0,1.0,10.0,52.0,84672999.0,886661883646.0
,,,4522-011-5746,1399.0,"FSA 57 SET Roçadeira a bateria, AutoCut",1.0,,"Bateria AK 10
Carregador AL 101 - 220v",220V,,,,,,1.0,10.0,52.0,84672999.0,886661883639.0
,,,4522-011-5730,859.0,"FSA 57 Roçadeira a bateria, AutoCut C3-2",1.0,,Não acompanha bateria ou carregador,-,,,,,,1.0,10.0,52.0,84672999.0,886661876853.0
,,,FA05-011-5700,1999.0,FSA 86 R Roçadeira a bateria,1.0,AP 300S,Não acompanha bateria ou carregador,-,36,AutoCut C 6-2,,350,45.0,1.0,10.0,52.0,84672999.0,886661336388.0
,,,FA01-200-0000,3949.0,"FSA 135 Roçadeira a bateria, AutoCut C 2",1.0,AP 300 S,Não acompanha bateria ou carregador,-,36,AutoCut C 26-2,,,49.0,1.0,10.0,52.0,84672999.0,886661413904.0
,,,FA01-200-0001,3799.0,"FSA 135 Roçadeira a bateria,GSB 260-2",1.0,,,-,,Lâmina 260-2,,,49.0,1.0,10.0,52.0,84672999.0,886661413911.0
,,,FA02-011-6800,2699.0,KMA 135 R Motor combinado a bateria,1.0,AP 300 S,Não acompanha bateria ou carregador,-,36,Implementos KM,,,34.0,1.0,0.0,0.0,85013210.0,886661869213.0
,,,,1.0,4601-740-5000,1719.0,1,BF-KM Cultivador do solo,,,,KM55/85 / KMA135R,,4142.0,1.0,10.0,52.0,82079000.0,795711319076.0
,,,,2.0,4243-740-5003,1729.0,1,HL-KM 145° Podador especial,,,,KM55/85 / KMA135R,,2742.0,6.0,10.0,52.0,84679900.0,886661157259.0
,,,,3.0,4606-740-5000,739.0,1,BG-KM Soprador axial,,,,KM55/85 / KMA135R,,1736.0,1.0,10.0,52.0,82079000.0,795711349851.0
,,,,4.0,4182-200-0212,1269.0,1,"Implem. KM - HT Motopoda,30cm/12"",71PM3",,,,HT-KM55/85R / KMA135R,,2384.0,1.0,10.0,52.0,84679100.0,886661545568.0
,,,,5.0,4182-200-0208,1249.0,1,"Implem. KM - HT Motopoda,30cm/12"",61PMM3",,,,HT-KM55/85R /  KMA135R,,2384.0,0.0,10.0,52.0,82079000.0,886661538195.0
,,,,6.0,4180-740-5002,759.0,1,FCB-KM Aparador de cantos,,,,FCB-KM55/85 / KMA135R,,286.0,1.0,10.0,52.0,82079000.0,886661111749.0
,,,,7.0,4180-710-7141,489.0,1,FS-KM Roçadeira,"Não acompanha Jogo de proteção, Kit de peças para fixação da lâmina e arruela 4137-710-3800",,,FS-KM55/85 / KMA135R,,1045.0,6.0,10.0,52.0,84679900.0,886661180844.0
,,,,,4140-710-7131,43404.0,1,Tubo do eixo 1 m,Prolongador da haste,,,HT-KM85R / KMA135R,,,1.0,10.0,0.0,84831090.0,795711169565.0
,,,HA03-011-3509,849.0,HSA 26 SET 127V Podador de arbustos a ba,1.0,AS 2,"Máquina com lâmina para arbustos, lâmina para grama,  carregador,  bateria e bolsa",127 V,10.8,80 / 120,200,120,8.0,1.0,10.0,52.0,84672999.0,886661931859.0
,,,HA03-011-3518,849.0,HSA 26 SET 220V Podador de arbustos a ba,1.0,,,220 V,,,,,,1.0,10.0,52.0,84672999.0,886661026333.0
,,,HA03-011-3503,509.0,HSA 26 Podador de arbustos a bateria,1.0,AS 2,Não acompanha bateria e carregador,-,10.8,80 / 120,200,120,8.0,1.0,10.0,52.0,84672999.0,886661869947.0
,,,HA03-710-7100,34166.0,Haste telescópica,1.0,-,GTA26,A haste telescópica é um excelente acessório para cortar as bordas do gramado de maneira prática e confortável,,,,,45.0,1.0,10.0,52.0,84679900.0,886661937608.0
,,,HA08-011-3504,899.0,"HSA 30.0 Podador a bateria, 450mm/18""",1.0,AS 2,Não acompanha bateria ou carregador,-,10.8,45,22,,2.0,1.0,10.0,52.0,84672999.0,886661684243.0
,,,HA08-011-3511,1189.0,"HSA 30.0 SET Podador a bateria, 220V,",1.0,,"Bateria AS 2
Carregador AL 1 - 220V",220V,,,,,,1.0,10.0,52.0,84672999.0,886661684311.0
,,,HA08-011-3512,1189.0,"HSA 30.0 SET Podador a bateria, 127V,",1.0,,"Bateria AS 2
Carregador AL 1 - 127V",127V,,,,,,1.0,10.0,52.0,84672999.0,886661684328.0
,,,HA08-011-3524,1089.0,"HSA 40.0 Podador a bateria, 500mm/20""",1.0,AS 2,Não acompanha bateria ou carregador,-,10.8,50,24,,21.0,1.0,10.0,52.0,84672999.0,886661869862.0
,,,HA08-011-3531,1529.0,"HSA 40.0 SET Podador a bateria, 220V,",1.0,,"2 Unidades Bateria AS 2
Carregador AL 1 - 220V",220V,,,,,,1.0,10.0,52.0,84672999.0,886661870042.0
,,,HA08-011-3532,1529.0,"HSA 40.0 SET Podador a bateria, 127V,",1.0,,"2 Unidades Bateria AS 2
Carregador AL 1 - 127V",127V,,,,,,1.0,10.0,52.0,84672999.0,886661870059.0
,,,4511-011-3527,649.0,"HSA 45 Podador a bateria, 500mm/20""",2.0,Integrada,Carregador,Bivolt,18,50,2500,40,23.0,1.0,10.0,52.0,84672999.0,795711895587.0
,,,4521-011-3577,2039.0,"HSA 50.1 SET Podador a bateria, 127V",1.0,AK 10,"Bateria AK 10
Carregador AL 101 - 127V",127V,36,50,30,,29.0,1.0,10.0,52.0,84672999.0,795711892692.0
,,,4521-011-3576,2039.0,"HSA 50.1 SET Podador a bateria, 220V,",1.0,,"Bateria AK 10
Carregador AL 101 - 220V",220V,,,,,,1.0,10.0,52.0,84672999.0,795711892685.0
,,,4521-011-3563,1339.0,"HSA 50.1 Podador a bateria, 500mm/20""",1.0,,Não acompanha bateria ou carregador,-,,,,,,1.0,10.0,52.0,84672999.0,795711892579.0
,,,HA07-011-3530,1899.0,"HSA 100.1 Podador a bateria, 600mm/24""",1.0,AP200,Não acompanha bateria ou carregador,-,36,600,34,,36.0,1.0,10.0,52.0,84672999.0,795711859367.0
,,,HA01-011-2913,156899.0,HLA 56 Podador de altura a bateria,1.0,AK 10,Não acompanha bateria ou carregador,-,36,"135º
 (-45º até +90º)",2.1,450,38.0,1.0,10.0,52.0,84672999.0,886661771080.0
,,,HA01-820-5000,27396.0,"Extensão 0,5 m",1.0,"A extensão amplia o raio de alcance do usuário, permitindo atingir alturas maiores. ",,,,,,,474.0,1.0,10.0,52.0,84679900.0,886661858514.0
,,,4859-011-2914,2599.0,HLA 66 Podador de altura a bateria,1.0,AP 200 S,Não acompanha bateria ou carregador,-,36,"115º
(-45º até +70º)",2.05,500,38.0,1.0,10.0,52.0,84672999.0,886661900961.0
,,,SA03-011-7304,829.0,SEA 20.0 Aspirador portátil a bateria,1.0,AS 2,Não acompanha bateria ou carregador,-,10.8,0.75,80 / 8,14,11.0,1.0,10.0,65.0,85081100.0,886661968015.0
,,,SA03-011-7317,1139.0,SEA 20.0 SET Aspirador portátil 127V,1.0,,"Bateria AS 2
Carregador AL 1 - 127V",127 V,,,,,,1.0,10.0,65.0,85081100.0,886661968107.0
,,,SA03-011-7318,1139.0,SEA 20.0 SET Aspirador portátil 220V,1.0,,"Bateria AS 2
Carregador AL 1 - 220V",220 v,,,,,,1.0,10.0,65.0,85081100.0,886661968121.0
,,,SA04-011-7305,1899.0,SEA 60.0 L Aspirador a bateria,1.0,450,Não acompanha bateria ou carregador,"Lavável
Filtro Papel
Filtro Espuma",12,9,AK 20,190,75.0,1.0,10.0,65.0,85081100.0,886661036486.0
,,,SA04-011-7315,2299.0,SEA 100.0 L Aspirador a bateria,1.0,500,Não acompanha bateria ou carregador,"Lavável
Filtro Papel
Filtro Espuma",12,9,AP 200 S,210,65.0,1.0,10.0,65.0,85081100.0,886661247493.0
,,,SA03-007-1000 ,12047.0,Jogo Mini bicos,,,,,,,,,1.0,1.0,0.0,65.0,85087000.0,886661747474.0
,,,SA02-011-7100,1649.0,SHA 56 Trituradora de aspiração a bateria,1.0,AK  20,Não acompanha bateria ou carregador,510,40,"3,2 (soprador) 4,2 (aspirador)",,25,,1.0,0.0,65.0,85081900.0,886661624492.0
,,,BA08-011-5900,699.0,BGA 30.0 Soprador a bateria,1.0,AS 2,Não acompanha bateria ou carregador,-,10.8,430,43,8-25,15.0,1.0,10.0,0.0,84145990.0,886661879212.0
,,,BA08-011-5919,1099.0,"BGA 30.0 SET Soprador a bateria, 127V",1.0,,"2 Baterias AS 2
Carregador AL 1 - 127V",127V,,,,,,1.0,10.0,0.0,84145990.0,886661882014.0
,,,BA08-011-5920,1099.0,"BGA 30.0 SET Soprador a bateria, 220V",1.0,," 2 Baterias AS 2
Carregador AL 1 - 220V",220V,,,,,,1.0,10.0,0.0,84145990.0,886661255412.0
,,,4513-011-5907,649.0,BGA 45 Soprador a bateria,1.0,Integrada,Carregador,bivolt,18,38,400,10,2.0,6.0,10.0,0.0,84145990.0,886661398553.0
