unnamed_2,codigo_material,preco_real,qtde_min,descricao,vazao_maxima_l_h,pressao_maxima_bar,pressao_de_trabalho_bar,potencia_kw,tipo_de_motor,peso_kg,comprimento_da_mangueira_m,cabecote_da_bomba,s,t,ipi,ncm_classif_fiscal,cod_barras
,4247-500-0901,8579.0,1.0,Lança de jatear reto,,,,,,,SG20,,3.0,10.0,325.0,84249090.0,795711532376.0
,4247-500-2100,18717.0,1.0,Lança telescópica,,,,,,,SG20,,3.0,10.0,325.0,84249090.0,795711352776.0
,4247-510-4000,9248.0,1.0,Manômetro,,,,,,,SG20,,3.0,10.0,0.0,90262010.0,795711852214.0
,4247-500-9101,16617.0,1.0,Pistola com manômetro,,,,,,,SG20,,8.0,10.0,325.0,84249090.0,795711852221.0
,4247-500-7500,4201.0,1.0,Suporte do bico,,,,,,,SG20,,8.0,10.0,325.0,84249090.0,795711352783.0
,4255-500-9702,47935.0,1.0,Tubo de jato largo,,,,,,,SG71,,1.0,10.0,325.0,84249090.0,886661251254.0
,4255-500-7403,17428.0,1.0,Válvula de regulagem 1 bar,,,,,,,SG71,,1.0,10.0,0.0,84811000.0,886661358243.0
,4247-500-7400,16635.0,1.0,Válvula de pressão 1 bar,,,,,,,SG20,,5.0,10.0,0.0,84811000.0,795711411596.0
,4255-500-7404,17428.0,1.0,"Válvula de regulagem 1,5 bar",,,,,,,SG71,,1.0,10.0,0.0,84811000.0,886661358250.0
,4247-500-7401,17256.0,1.0,"Válvula de pressão 1,5 bar",,,,,,,SG20,,8.0,10.0,0.0,84811000.0,795711411602.0
,4247-500-7402,14957.0,1.0,Válvula de regulagem 2 bar,,,,,,,SG20,,3.0,10.0,0.0,84811000.0,795711411619.0
,4248-702-7101,15313.0,1.0,Foice,,,,,,PC70/75,,,5.0,10.0,0.0,82019000.0,886661013524.0
,4248-702-7400,25769.0,1.0,Sacho,,,,,,PC70/75,,,0.0,10.0,0.0,82013000.0,886661139217.0
,4248-790-3900,5226.0,1.0,Proteção para transporte da foice,,,,,,PC70/75,,,3.0,0.0,65.0,42022220.0,886661049219.0
,4248-790-3901,4157.0,1.0,Proteção para transporte do sacho,,,,,,PC70/75,,,0.0,0.0,65.0,42022220.0,886661146758.0
,4238-200-0020,5299.0,1.0,"TS 420 Cortador de pedra/ferro,350mm/14""",,66.7,3.2,4.4,350,125.0,,9.7,6.0,10.0,52.0,84678900.0,795711966263.0
,4224-200-0024,7999.0,1.0,"TS 800 Cortador de pedra/ferro,400mm/16""",,98.5,5,6.8,400,145.0,,12.7,6.0,10.0,52.0,84678900.0,886661117598.0
,4224-200-0038,422171.0,1.0,"4224-710-1403 FW 20 Carrinho de transporte
4250-790-0702 Assento
4224-007-1018 Jogo recipiente para água
4224-007-1014 Jogo conexão rodas TS
4205-007-1009 Jogo direção de corte",,,,,,,,31.6,1.0,0.0,0.0,84289090.0,886661426218.0
,4224-200-0039,422171.0,1.0,"4224-710-1403 FW 20 Carrinho de transporte
4250-790-0705 Assento
4224-007-1018 Jogo recipiente para água
4224-007-1014 Jogo conexão rodas TS
4205-007-1009 Jogo direção de corte",,,,,,,,31.6,1.0,0.0,0.0,84289090.0,886661426232.0
,4224-710-1403,2719.0,1.0,FW 20 Carrinho de transporte (não acompanha Jogo direção de corte | Jogo recipiente para água | Jogo de assentamento e Jogo conexão rodas TS),,,,,,TS420/800,,24.5,1.0,0.0,0.0,84289090.0,886661423606.0
,4205-007-1009,39234.0,1.0,"Guia direcional para o FW 20, que orienta a direção do corte durante a operação.",,,,,,TS420/760/800,,1.27,1.0,10.0,52.0,84679900.0,795711194505.0
,4224-007-1018,70185.0,1.0,"Recipiente de água para o FW 20, armazena a água utilizada para a refrigeração do disco de corte.",,,,,,TS420/800,,2.4,1.0,10.0,52.0,84679900.0,795711828868.0
,4250-790-0702,110319.0,1.0,Assento,,,,,,TS420,,7.18,1.0,10.0,52.0,84679900.0,886661405749.0
,4224-790-0705,110319.0,1.0,"Jogo de assentamento TS 700, 800",,,,,,TS800,,3.8,1.0,10.0,52.0,84679900.0,795711350918.0
,4224-007-1014,25017.0,1.0,Base com rodas para movimentar o TS 420 e/ou TS 800 sobre superficies planas sem necessidade do FW 20.,,,,,,TS420/800,,0.35,1.0,10.0,52.0,84679900.0,795711360634.0
,0000-670-6000,66417.0,1.0,Recipiente de armazenamento de água utilizado para resfriamento com disco de corte em locais onde não há fontes de água. ,,,,,,TS420/800,,2.75,1.0,10.0,52.0,84679900.0,795711809591.0
,4864-690-0801,67469.0,1.0,Dispositivo que limita a profundidade de corte do disco e com uma saida lataral para acoplamento de aspirador de pó.,,,,,,TS420/800,,0.54,1.0,10.0,52.0,84679100.0,886661161720.0
,0835-094-7013,143484.0,1.0,"Disco de corte D-BA90 Ø 350mm/14"" Diversas aplicações, como para o corte de concreto, tijolos e asfalto.",,,,,,TS 420,,2.141,1.0,10.0,0.0,68042219.0,886661609789.0
,0835-094-7014,203656.0,1.0,"Disco de corte BA 90 - 400mm. Diversas aplicações, como para o corte de concreto, tijolos e asfalto.",,,,,,TS 800,,2.75,1.0,10.0,0.0,68042219.0,886661609802.0
,0835-096-7005,149727.0,1.0,"Disco de corte D-SB90 Ø 350mm/14"" - 350mm. Corte de pedras e concreto armado.",,,,,,TS 420,,1.663,1.0,10.0,0.0,68042219.0,886661609505.0
,0835-096-7006,212512.0,1.0,Disco de corte SB 90 - 400mm. Corte de pedras e concreto armado.,,,,,,TS 800,,2.468,1.0,10.0,0.0,68042219.0,886661609512.0
,0835-090-7050,37695.0,1.0,Disco de corte B 10 Ø 230mm - Corte de pedras e concreto armado.,,,,,,TSA 230,,0.63,1.0,10.0,0.0,68042219.0,886661609529.0
,0835-090-7052,59672.0,1.0,Disco de Corte B 10 - 350mm. Corte de pedras e concreto armado.,,,,,, TS 420,,2.012,1.0,10.0,0.0,68042219.0,886661609567.0
,0835-090-7053,100624.0,1.0,Disco de corte B 10 - 400mm. Corte de pedras e concreto armado.,,,,,,TS 800,,2.896,1.0,10.0,0.0,68042219.0,886661609604.0
,0835-012-7000,5363.0,1.0,Disco de corte K-ME Ø 230mm. Corte de aço e perfis de metal de construção.,,,,,,TSA 230,,0.61,1.0,10.0,0.0,68042219.0,886661066988.0
,0835-010-7001,8219.0,1.0,Disco de corte K-ME Ø 350mm. Corte de aço e perfis de metal de construção.,,,,,,TS 420,TS 420,0.61,1.0,10.0,0.0,68042219.0,795711135584.0
,0835-020-7001,8219.0,1.0,Disco de corte K-BA Ø 350mm. Corte de tijolo e paredes.,,,,,,TS 420,TS 420,0.61,1.0,10.0,0.0,68042219.0,795711135607.0
,0835-020-7002,11621.0,1.0,Disco de corte K-BA Ø 400mm. Corte de tijolo e paredes.,,,,,,TS 800,TS 800,0.61,1.0,10.0,0.0,68042219.0,795711135638.0
,4313-200-0045,4449.0,1.0,BT 131 Perfurador Solo - (S/ Broca),,4-MIX,36.3,1.4,1.9,10.0,BT131,,6.0,10.0,52.0,84678900.0,886661553037.0
,4404-680-1900,103054.0,1.0,Broca de aço perfur. de solo Ø 260mm x 660mm,,,Broca Plantio - Perfuração 260mm,,,,BT120/121/130/131,,1.0,10.0,52.0,82071910.0,795711093921.0
,4404-680-2012,12077.0,1.0,Broca de aço perfur. de solo Ø 120mm x 695mm,,,Broca Helicoidal - Perfuração 120mm,,,,BT120/121/130/131,,1.0,10.0,52.0,82071910.0,795711086251.0
,4404-680-2020,130671.0,1.0,Broca de aço perfur. de solo Ø 200mm x 720mm,,,Broca Helicoidal - Perfuração 200mm,,,,BT120/121/130/131,,1.0,10.0,52.0,82071910.0,795711086275.0
,4311-680-2350,3689.0,1.0,Prolongamento da haste 450 mm,,,,,,,BT120/121/130/131,,1.0,10.0,52.0,84679900.0,795711052935.0
,4313-680-2300,31439.0,1.0,Prolongamento da haste 250 mm,,,,,,,BT120/121/130/131,,1.0,10.0,52.0,84679900.0,795711416560.0
,4314-200-0022,3349.0,1.0,BT 45 Furadeira com broca Ø13x320mm,,,27.2,0.8,1.1,48.0,Furadeira,,1.0,10.0,52.0,84678900.0,886661401291.0
,4314-200-0023,3399.0,1.0,BT 45 Furadeira com broca Ø19x460mm,,,,,,,,,1.0,10.0,52.0,84678900.0,886661401307.0
,4314-200-0024,3449.0,1.0,BT 45 Furadeira com broca Ø25x460mm,,,,,,,,,1.0,10.0,52.0,84678900.0,886661401314.0
,4314-007-1004,5113.0,1.0,Jogo Mandril de brocas,,,,,,,BT 45,,1.0,10.0,52.0,84679900.0,795711352899.0
,4314-007-1000,33736.0,1.0,Jogo Mandril de brocas,,,,,,,BT 45,,1.0,10.0,52.0,84679900.0,795711352875.0
,4314-682-5013,14905.0,1.0,Broca para madeira de aço Ø 13x320 mm,,,,,,,BT45,,1.0,10.0,52.0,82075011.0,795711179595.0
,4314-682-5019,19017.0,1.0,Broca para madeira de aço Ø 19x460 mm,,,,,,,BT45,,1.0,10.0,52.0,82075011.0,795711179618.0
,4314-682-5025,25399.0,1.0,Broca para madeira de aço Ø 25x460 mm,,,,,,,BT45,,1.0,10.0,52.0,82075011.0,795711179656.0
,4314-200-0018,3779.0,1.0,"BT 45 Furadeira com Broca de Plantio 3""",,,27.2,0.8,1.1,48.0,Perfurador de solo,,1.0,10.0,52.0,84678900.0,886661265084.0
,4314-200-0019,3799.0,1.0,"BT 45 Furadeira com Broca de Plantio 4""",,,27.2,0.8,1.1,48.0,BT 45,,1.0,10.0,52.0,84678900.0,886661265114.0
,4314-200-0020,384901.0,1.0,"BT 45 Furadeira com Broca de Plantio 5""",,,27.2,0.8,1.1,48.0,BT 45,,1.0,10.0,52.0,84678900.0,886661265152.0
,4314-680-1903,54748.0,1.0,"Broca perfuradora de solo para plantio 3""",,,"Comprimento da broca 59,5 cm",,,,BT 45,,1.0,10.0,52.0,82071910.0,795711178741.0
,4314-680-1904,56764.0,1.0,"Broca perfuradora de solo para plantio 4""",,,"Comprimento da broca 59,5 cm",,,,BT 45,,1.0,10.0,52.0,82071910.0,795711178758.0
,4314-680-1905,59031.0,1.0,"Broca perfuradora de solo para plantio 5""",,,"Comprimento da broca 59,5 cm",,,,BT 45,,1.0,10.0,52.0,82071910.0,795711178765.0
,4314-007-1001,32206.0,1.0,Kit para perfurador de plantio,,,,,,,BT 45,,1.0,10.0,52.0,84679900.0,795711352882.0
,VB07-011-1800,1599.0,1.0,EHC 705.0 S (BR) Motor com acoplamento,,,252,,0.6,,4.0,6,1.0,0.0,0.0,84079000.0,886661064786.0
,VB06-011-1800,1399.0,1.0,EHC 605.0 S (BR) Motor com acoplamento,,,212,,0.6,,36.0,6,1.0,0.0,0.0,84079000.0,886661064724.0
,6250-011-3930,3999.0,1.0,MH 610.0 (BR) Motocultivador,,,80,212,"4,4 / 6,0",,61.0,"6""",6.0,0.0,0.0,84322900.0,886661554195.0
,6251-011-3930,5799.0,1.0,MH 710.0 (BR) Motocultivador,,,100,252,"5,2 / 7,0",,101.0,"8""",6.0,0.0,0.0,84322900.0,886661554300.0
,6906-740-1401,113304.0,1.0,Roda ART 012.0,,,MH610,,,,,,1.0,0.0,325.0,84329000.0,886661356621.0
,6906-710-0922,143223.0,1.0,Kit rodas de ferro  AMR 060.0,,,MH610,,,,,,1.0,0.0,325.0,84329000.0,886661516773.0
,6906-710-1142,71167.0,1.0,Sulcador AHK 800.0,,,MH710,,,,,,1.0,0.0,325.0,84329000.0,886661516759.0
