unnamed_2,unnamed_4,codigo_material,preco_real,qtde_min,descricao,cilindrada_cm3,pot,unnamed_11,peso,conjunto_de_corte,s,t,ipi,ncm_classif_fiscal,cod_barras
,,4815-011-4111,569.0,1.0,"FSE 41 Roçadeira eléctrica, 127V",-,0.4,-,26.0,"Carretel de nylon 1,4 mm",1.0,10.0,52.0,84672999.0,795711413316.0
,,4815-011-4112,569.0,1.0,"FSE 41 Roçadeira eléctrica, 220V",,,,,"Carretel de nylon 1,4 mm",1.0,10.0,52.0,84672999.0,795711413323.0
,,4809-011-4103,969.0,2.0,"FSE 60 Roçadeira eléctrica, 127V",-,0.6,-,4.0,AutoCut 6-2,1.0,10.0,52.0,84672999.0,795711323721.0
,,4809-011-4121,969.0,2.0,"FSE 60 Roçadeira eléctrica, 220V",,0.6,-,39.0,AutoCut 6-2,1.0,10.0,52.0,84672999.0,795711374655.0
,1.0,4137-200-0323,2099.0,1.0,KA 85 R Roçadeira - Lâmina 3 Facas 250mm,254.0,0.95,13.0,6726.0,3 FACAS 250mm,0.0,10.0,52.0,84678900.0,886661560035.0
,2.0,4137-200-0324,2069.0,1.0,KA 85 R Roçadeira - Lâmina 2 Facas 230mm,,,,6596.0,2 FACAS 230mm,0.0,10.0,52.0,84678900.0,886661560042.0
,3.0,4137-200-0396,2119.0,1.0,KA 85 R Roçadeira - Trimcut 32-2,,,,6841.0,TrimCut 32-2,0.0,10.0,52.0,84678900.0,886661566235.0
,4.0,4137-200-0341,2969.0,1.0,KA 85 R BF - Cultivador de Solo,,,,12124.0,CULTIVADOR DE SOLO,5.0,0.0,0.0,84322900.0,886661564866.0
,5.0,4137-200-0342,3089.0,1.0,KA 85 R HL 145° - Podador Especial,,,,7185.0,HL PODADOR ESPECIAL,5.0,10.0,52.0,84678900.0,886661564873.0
,7.0,4137-200-0399,2819.0,1.0,"KA 85 R HT Motopoda 30cm/12"",61PMM3,
passo da corrente: 3/8""",,,,9765.0,"HT MOTOPODA - 30cm/12"",61PM3",0.0,10.0,52.0,84678100.0,886661616152.0
,8.0,4137-200-0346,3159.0,1.0,KA 85 R SP WR 9 - Derriçador de Café,,,,5101.0,SP20 WR 9 DERRIÇADOR CAFÉ,0.0,10.0,52.0,84678900.0,886661564910.0
,9.0,4137-200-0347,3139.0,1.0,KA 85 R SP WR 6 - Derriçador de Café,,,,5101.0,SP20 WR 6 DERRIÇADOR CAFÉ,0.0,10.0,52.0,84678900.0,886661564927.0
,10.0,4137-200-0348,4169.0,1.0,KA 85 R SP – Colhedor de Oliva,,,,6662.0,SP COLHEDOR DE OLIVA,3.0,10.0,52.0,84678900.0,886661564934.0
,11.0,4137-200-0316,2859.0,1.0,KA 85 R FCS - Aparador de Cantos,,,,8281.0,IMPLEMENTO APARARADOR DE CANTOS,5.0,10.0,52.0,84678900.0,886661559961.0
,1.0,4134-200-0393,2239.0,2.0,KA 120 R Roçadeira - Lâmina 3 Facas 250m,308.0,1.3,18.0,7426.0,3 FACAS 250mm,3.0,10.0,52.0,84678900.0,886661560066.0
,2.0,4134-200-0394,2239.0,2.0,KA 120 R Roçadeira - Lâmina 2 Facas 230m,,,,7296.0,2 FACAS 230mm,3.0,10.0,52.0,84678900.0,886661560073.0
,3.0,4134-200-0462,2219.0,2.0,KA 120 R Roçadeira - Trimcut 32-2,,,,7541.0,TrimCut 32-2,1.0,10.0,52.0,84678900.0,886661566242.0
,4.0,4134-200-0367,3169.0,2.0,KA 120 R BF - Cultivador de Solo,,,,12824.0,CULTIVADOR DE SOLO,1.0,0.0,0.0,84322900.0,886661512539.0
